company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ABB,Junior Data Analyst,4,Bengaluru,"₹ 3,25,236",10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Philips,Data Scientist - AI/ML,4,Bengaluru,,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.7,4,3.5,4
HSBC,Data Science GSC’s,3.9,Bengaluru,,10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7
Facctum Solutions,Data Analyst,,Karnataka,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
JPMorgan Chase & Co,Data and Analytics - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Sanfoundry,Data Scientist - Fresher,,Hyderābād,"₹ 4,16,516",1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Beinex,Trainee in Data Science,3.9,Cochin,"₹ 2,80,977",201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5
Sanfoundry,Junior Software Engineer - Data Science - Fresher,,Hyderābād,"₹ 3,82,623",1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Oracle,Data Scientist,3.8,Bengaluru,"₹ 7,09,930",10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),3.6,3.5,3.7,3.5,4
PhonePe,Data Scientist,4.1,Bengaluru,"₹ 10,24,695",5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Hyqoo,Data Annotator,4.5,Remote,,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
BigShyft,Data Scientist,3.9,Bengaluru,"₹ 20,00,000",1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Findem,Researcher - Data Operations Intern,4.3,Remote,"₹ 9,000",51 to 200 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Sanfoundry,Junior Data Scientist,,Hyderābād,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
News Corp,Data Analyst,3.6,Bengaluru,"₹ 5,22,206",10000+ Employees,2013,Company - Public,Publishing,Media & Communication,$5 to $10 billion (USD),3.5,3.4,3.3,3.2,3.5
"Medpace, Inc.",Clinical Data Coder,3.4,Thāne,"₹ 5,79,224",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Infosys,Data Scientist,3.8,Bengaluru,,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Microsoft,Data Annotation Specialist,4.2,Hyderābād,"₹ 3,17,979",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Skyla Software Solution,Data Entry Operator,,Jamshedpur,"₹ 84,853",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,4,3,5,4,2
TVS Supply Chain Solutions,Data Entry Operator,3.4,Bengaluru,"₹ 2,55,288",501 to 1000 Employees,--,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable,3.2,2.9,3,3,3
Nissan,Data Engineer I,3.9,Thiruvananthapuram,"₹ 4,43,415",10000+ Employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),3.6,3.7,3.7,3.5,3.4
SatSure Analytics India,Data Scientist Intern,,Bengaluru,,51 to 200 Employees,2017,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,4.7,3.8,4.4,4.3,3.9
Sanfoundry,Data Scientist - Python/ Machine Learning,,Mumbai,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
MathCo,Associate - Data Science,3.5,Bengaluru,"₹ 8,76,519",1001 to 5000 Employees,2016,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.6,3.4,3.6,3.2,2.9
Amex,Analyst - Data Analytics,4.2,Gurgaon,"₹ 4,82,311",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),3.8,4,4.2,3.8,4.1
KPMG,Digital Trust S&G-Data Privacy and Ethics Analyst,3.8,Gurgaon,"₹ 4,95,831",10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Dow Jones,Summer 2024 Internship - Data & AI (APAC),3.8,Delhi,,5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),3.3,3.4,3.7,3.2,4
Infosys,Healthcare Data Analyst,3.8,Chennai,"₹ 5,33,713",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Uptricks Services Pvt. Ltd.,Data Science Internship,4.3,Remote,,51 to 200 Employees,2013,Self-employed,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.9,3.8,3.9,3.9,3.9
JPMorgan Chase & Co,Data Analyst,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Alcon,Data Analyst - Digital Health,3.8,Bengaluru,"₹ 7,84,161",10000+ Employees,1945,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),3.4,3.9,3.6,3.3,3.5
Philips,Data Scientist - Image Processing,4,Bengaluru,,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.7,4,3.5,4
Deutsche Bank,Data Scientist,4,Pune,"₹ 5,95,940",10000+ Employees,1870,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.9,3.8,4.1,3.7,4.1
Wipro,Data Analyst,3.7,Bengaluru,"₹ 4,94,975",10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
NatWest Group,"Data Analyst, AVP",4.1,Gurgaon,"₹ 5,79,938",10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.7,3.5,4.2,3.7,4.3
Sanfoundry,Data Scientist,,Gurgaon,"₹ 4,69,574",1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Telstra,Data Insights & Analytics Analyst,3.9,Bengaluru,"₹ 10,14,936",10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.6,3.7,3.9,3.5,4.2
Bullsmart,Data Scientist,,Bengaluru,"₹ 31,00,000",,,,,,,,,,,
Leventm Technologies,Data Analysis,,Bengaluru,"₹ 4,80,625",1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),,,,,
BMC Software,Data Scientist,4.1,Pune,"₹ 7,12,088",5001 to 10000 Employees,1980,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),3.8,4.1,4.1,3.8,4
Reliance Games,Data Analytics,3.5,Pune,"₹ 4,69,012",51 to 200 Employees,--,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,3.2,3.4,2.9,3.1
Hypersonix,Data Annotator - Contractor,5,Remote,,1 to 50 Employees,2019,Company - Private,Aerospace & Defence,Aerospace & Defence,Unknown / Non-Applicable,5,4,4.7,4.7,4.3
FinAdvantage,FACPL_048 - Data Analyst,,Bengaluru,"₹ 11,00,000",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,2,2,1,2,1
,Data Associate,3.9,Bengaluru,"₹ 5,00,799",10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.8,3.4,3.7
eminenture,Data Analyst,,Delhi,,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.9,3.4,3.9,3.7,3.7
Intercontinental Exchange,Data Analyst I,3.8,Hyderābād,"₹ 4,69,042",5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),3.5,3.7,3.5,3.3,3.6
Infifresh Foods,Data Analyst,3.6,Bengaluru,"₹ 9,48,683",Unknown,2019,Company - Private,Fishery,Agriculture,Unknown / Non-Applicable,3.5,3.6,3.6,3.2,3.4
Coforge Ltd.,DATA ANALYST,3.6,Greater Noida,"₹ 7,81,721",10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
"Medpace, Inc.",Data Coordinator,3.4,Thāne,"₹ 5,89,237",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Valenta BPO,Data Analyst,3.2,Bengaluru,"₹ 5,50,000",51 to 200 Employees,2014,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.2,2.7,3.1,3.1,3.6
PhonePe,Senior Data Analyst,4.1,Bengaluru,"₹ 7,77,892",5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4,4.2,4.1,3.7,3.8
Tata Consultancy Services,"Data Science, Python, GraphDB",3.8,Bengaluru,"₹ 6,48,074",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Syneos Health Clinical,Data Scientist I,3.8,Remote,,10000+ Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.5,3.5,3.8,3.5,3.9
Tata Consultancy Services,Employee Data Governance!,3.8,Bengaluru,"₹ 5,36,656",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Lloyds Technology Centre,Data Analyst,3.3,Hyderābād,,10000+ Employees,1695,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable,3.2,3.4,3.2,2.9,3.2
Infosys,Data Privacy_Consulting,3.8,Bengaluru,"₹ 7,20,103",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Tata Technologies Europe,ALM Users - Data Mining,3.8,Bengaluru,"₹ 7,89,523",10000+ Employees,1989,Company - Private,Research & Development,Management & Consulting,$100 to $500 million (USD),3.6,3.4,3.8,3.4,3.8
JLL,Sustainability Data Analyst,3.9,Bengaluru,,10000+ Employees,--,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),3.7,3.5,3.8,3.5,3.7
"Medpace, Inc.",Clinical Data Reviewer,3.4,Thāne,"₹ 6,48,398",5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Sectigo,Data Analyst,3.4,Chennai,"₹ 6,36,962",201 to 500 Employees,2008,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3,2.9,3,3,3.3
Indium Software Inc.,Data Analyst,,Bengaluru,"₹ 9,00,000",,,,,,,,,,,
Digital Suncity,Data Entry Clerk,,Remote,"₹ 5,000",,,,,,,,,,,
Wrike Careers Page,Customer Support Data Analyst,3.8,Bengaluru,"₹ 5,62,146",1001 to 5000 Employees,2006,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.4,3.7,3.9,3.3,4.1
HealthPlix Technologies,Junior Data Scientist,,Bengaluru,"₹ 12,50,000",,,,,,,,,,,
Suvizion Infotech,Clinical Data Coordinator,,Remote,"₹ 3,25,000",,,,,,,,,,,
WovV Technologies,Data Engineer (WFH),4.7,Remote,"₹ 10,00,000",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
Rotork,Data Analyst,3.7,Chennai,"₹ 5,69,738",1001 to 5000 Employees,--,Company - Public,Electronics Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.5,3.2,3.5,3.4,3.9
Pocketly Infotech Private Limited,Data Analyst,,Bengaluru,"₹ 9,50,000",,,,,,,,,,,
Accenture,Clinical Data Svs Associate,4,Bengaluru,,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
Wipro Limited,Data Privacy/Data Analyst,3.7,Bengaluru,"₹ 4,94,975",10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
Giixa Infotech Pvt Ltd,Data Analyst (Lead Generation),,Remote,,,,,,,,,,,,
Windmill Smart Solutions,Data Scientist,3.6,Remote,,51 to 200 Employees,2012,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.7,3.6,3.6,3.4,3.8
Nielsen,Data Scientist,3.6,Bengaluru,"₹ 6,15,061",10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),3.2,3.2,3.7,3.1,3.8
Indium Software Inc.,Data Scientist,,Bengaluru,"₹ 25,00,000",,,,,,,,,,,
Fractal Analytics,Cloud Data Engineer,4,Bengaluru,"₹ 8,81,722",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4,3.7,4.2,3.8,3.9
Kodehash Technologies Pvt Ltd,Data Engineer,,Remote,"₹ 9,50,000",,,,,,,,,,,
HP,Data Analyst,4.1,Bengaluru,"₹ 8,69,528",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
CityLink Technology Solutions,Data Scientist,3.7,Pune,"₹ 5,29,150",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),4.5,2.7,3.9,3.7,4.4
Warner Bros Careers,Associate Data Engineer,3.6,Hyderābād,"₹ 5,56,230",10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.1,3.6,3.4,3,3.6
NIBS,MIS Data Analyst,,Bengaluru,"₹ 32,500",,,,,,,,,,,
Cargill,Data Engineer,4.1,Bengaluru,"₹ 8,11,773",10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
JPMorgan Chase & Co,Reference Data Analyst - Team Leader,4,Bengaluru,"₹ 6,57,267",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Market Expertise,Data Research Analyst,,Pune,"₹ 3,04,180",51 to 200 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,4.3,4,4.1,3.9,4
ZF,Senior Data scientist,3.9,Chennai,"₹ 3,60,000",10000+ Employees,1915,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.6,3.7,3.7,3.3,3.8
Dyson,Junior Data Engineer,3,Bengaluru,,10000+ Employees,1993,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,3,3.3,2.9,2.4,3
"Veranex, Inc.",Clinical Data Coordinator 2,,Bengaluru,,Unknown,--,Company - Private,Chemical Manufacturing,Manufacturing,Unknown / Non-Applicable,3.7,3.4,3.6,3.1,4.2
ADCI MAA 12 SEZ,ML Data Associate I,3.7,Chennai,"₹ 2,80,854",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Navig8 Group,Junior Data Analyst,,Mumbai,,201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.1,4,3.3,3.2,3.7
CommerceIQ,Data Scientist 1,3.1,Bengaluru,"₹ 4,24,264",201 to 500 Employees,2012,Company - Private,Internet & Web Services,Information Technology,$25 to $50 million (USD),2.9,3.2,2.8,2.7,2.5
Mapmygenome,Data Scientist,2.8,Hyderābād,"₹ 4,38,887",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,2.9,2.4,2.5,2.5,2.2
Dexcel Electronics Designs,Data Analytics,4.4,Bengaluru,"₹ 7,45,359",51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.3,4.2,4.3,4.2,4.3
JPMorgan Chase & Co,Reference Data Analyst,4,Bengaluru,"₹ 6,57,267",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Amex,Analyst-Data Science,4.2,Gurgaon,"₹ 4,82,311",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),3.8,4,4.2,3.8,4.1
BookMyShow,Data Analyst - I,3.9,Mumbai,"₹ 3,75,292",501 to 1000 Employees,1999,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.8,3.5,3.6,3.5,3.4
"Opalforce, Inc.",HR Data Analyst,,Bengaluru,"₹ 5,29,150",51 to 200 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.5,4.5,4.5,4.5
Threshold Software Solutions,Data Science Intern,,India,"₹ 17,500",,,,,,,,,,,
Educate Girls,Data Analyst,3.8,Jaipur,"₹ 9,00,000",1001 to 5000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.4,3.6,3.5,3.2,3.5
Cloudastra Technologies,Data Scientist,,Noida,,,,,,,,,,,,
Ignitho,Data Analyst Associate,4.3,Chennai,"₹ 8,35,332",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
LKQ India,Data Analyst,3.8,Bengaluru,"₹ 6,11,782",10000+ Employees,1998,Company - Public,Automotive Parts & Accessories Stores,Retail & Wholesale,$5 to $10 billion (USD),3.7,3.6,3.9,3.6,3.9
NEAR,Big Data Analyst,4.3,Bengaluru,"₹ 7,74,730",51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.2,4,4.3,3.8,4.3
Airtel India,Associate Data Scientist,4.1,India,,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),4,3.9,3.9,3.7,3.6
Sanfoundry,Junior Machine Learning Engineer,,Remote,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
Equifax,Trainee - Data Scientist,3.5,Mumbai,"₹ 9,87,421",10000+ Employees,1899,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.3,3.1,3.4
Microsoft,DATA SCIENTIST,4.2,Bengaluru,"₹ 5,06,785",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Comprinno Technologies,Jr Data Science Engineer,,Remote,"₹ 2,00,000",,,,,,,,,,,
Adfolks,Data Engineer,,Remote,,1 to 50 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,4,4,4.4,4.3
Staffbee Solutions Pvt. Ltd,GCP Data Engineer (Freelance),,Remote,"₹ 1,500.00",,,,,,,,,,,
WCG,Jr. Data & Analytics Engineer,3.2,Karnataka,,1001 to 5000 Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),2.7,3.1,2.7,2.5,2.8
RARR Technologies Pvt Ltd,Snowflake Data Modeler,4.7,Remote,"₹ 45,00,000",1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
Thermo Fisher Scientific,Clinical Data Associate II,3.6,Remote,,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.4,3.4,3.5,3.1,3.4
ZELL EDUCATION PRIVATE LIMITED,Data Analyst,,Mumbai,"₹ 7,00,000",,,,,,,,,,,
Fractal Analytics,Data Scientist,4,Bengaluru,"₹ 8,09,278",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4,3.7,4.2,3.8,3.9
Aptroid Consulting,Junior Data Analyst,3.8,Hyderābād,"₹ 3,79,473",201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.5,4.3,3.7,3.6,3.1
Wizikey,Junior Data Engineer (Delhi- NCR),3.7,Gurgaon,"₹ 6,19,677",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.7,3,3.6,3.4,3.6
Pratt & Whitney,Business intelligence and data analytics (PBI & RPA),3.8,Bengaluru,,10000+ Employees,1925,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.7,3.6,3.5,3.2,3.5
Nasim Consulting Limited and Honest Love Our Planet,Data Engineer,,Remote,,,,,,,,,,,,
Microsoft,Applied and Data Sciences,4.2,Delhi,,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Infosys,FHIR Data Analyst,3.8,Bengaluru,"₹ 4,68,897",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Google,"Data Scientist, Search",4.4,Bengaluru,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Eduno Tech India Private Limited,Junior Data Analyst,,Rewāri,"₹ 21,424",,,,,,,,,,,
Kotak Securities,Data Analytics- Team Member,3.6,India,,1001 to 5000 Employees,--,Company - Private,Investment & Asset Management,Finance,$2 to $5 billion (USD),,,,,
Quantiphi,Data Analyst,4.3,Mumbai,"₹ 6,47,159",1001 to 5000 Employees,2013,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.1,4,4,4,3.5
Cargill,PMO Data and Reporting Analyst,4.1,Bengaluru,"₹ 9,00,000",10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
Infosys,"Data testing, ETL, MSD 365 exp - Trivandrum",3.8,Bengaluru,,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.8,3,4,3.5,3.7
Scymes Services Pvt. ltd,Reference Data Analyst,2.5,Bengaluru,"₹ 22,500",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,2.5,2.5,2.5,2,2
Agile CRM Inc.,Data Analyst,3.1,India,"₹ 8,00,000",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2.9,2.8,2.8,3,2.9
Forbes Advisor,Trainee - Data Research,3.6,Mumbai,"₹ 3,17,572",201 to 500 Employees,1917,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,3.2,3.2,3.4,3.4,3.7
Accenture,Data Science-Data Designer,4,Bengaluru,,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),4,3.7,4,3.6,3.6
Leegality,Data Analyst,,India,,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.9,4.8,5,4.9,4.9
Samshek Fashion Pvt Ltd,Data Analyst,,Remote,"₹ 15,000",,,,,,,,,,,
Cubera,Data Engineer- Junior,,Bengaluru,"₹ 5,67,450",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,2.5,2.5,2.5,2.5,3
JPMorgan Chase & Co,Data Management - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Airtel India,Data Analyst,4.1,Gurgaon,"₹ 4,64,758",10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),4,3.9,3.9,3.7,3.6
Lightrains Technolabs,Data Scientist (ML & AI),,Thiruvananthapuram,"₹ 5,47,723",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Bigtick Global,Data Analytics Intern,,Bengaluru,"₹ 14,707",,,,,,,,,,,
Lemongrass Consulting,Associate Data Scientist,,India,,501 to 1000 Employees,2008,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.4,3.9,3.9,4,4.1
Calix,Salesforce Data Specialist,4.8,Bengaluru,"₹ 3,28,634",1001 to 5000 Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.7,4.7,4.8,4.7,4.6
Cell Propulsion,Data Entry Operator,3.8,Bengaluru,"₹ 10,000",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.7,2.9,3.3,3.2,3.2
Zeitview,Analyst - QC data labelling,3.2,Bengaluru,"₹ 5,05,240",1 to 50 Employees,2014,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3,2.7,3.3,3.1,3.6
Hotspot Retail,Data Analyst,,Remote,"₹ 35,00,000",,,,,,,,,,,
Riddhi Siddhi Career Point,Junior Data Analyst,,India,"₹ 21,500",,,,,,,,,,,
Merck KGaA Darmstadt Germany,"Data Analytics - TrackWise, Veeva, Palantir Foundry",4,Bengaluru,"₹ 7,05,220",10000+ Employees,1668,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.5,3.8,3.9,3.4,3.9
RARR Technologies Pvt Ltd,Specialist- Data Sciences,4.7,Remote,"₹ 52,00,000",1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
ABB,R&D associate Engineer- Data Science,4,Bengaluru,"₹ 5,75,393",10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
BHIVE Workspace,Associate – Data Management and Analysis,4.1,Bengaluru,"₹ 3,54,599",51 to 200 Employees,2014,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.1,3.6,3.9,4,3.9
Websar Technologies LLP,Data Scientist Gen AI,,Remote,"₹ 9,02,216",,,,,,,,,,,
Bursys,Data Analyst Tranee,3.7,Panchkula,"₹ 5,29,150",51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.5,3.5,3.5,3.5
Tata Consultancy Services,Data Analyst,3.8,Chennai,"₹ 3,98,701",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Log9 Materials,Data Scientist,3.9,Bengaluru,"₹ 3,63,878",51 to 200 Employees,2015,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,4.1,3.6,4.1,3.6,3.8
Parentune,Data Transformer(Internship),,Gurgaon,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.1,3.8,3.9,3.6,3.4
Codash Solutions,Data Engineer,,Remote,"₹ 82,501",,,,,,,,,,,
