company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Miba,Master Data Specialist,3.7,Pune,"₹ 2,56,518",5001 to 10000 Employees,1927,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$500 million to $1 billion (USD),3.1,3.4,3.4,2.9,3.8
Puneri Pattern,Data Scientist,,Maharashtra,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Classic Informatics Private Limited,Data Analyst,4.4,Gurgaon,"₹ 5,29,150",51 to 200 Employees,2002,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.9,4.1,4.3,4.1,4.2
Webandcraft,Data Scientist,4.1,Thrissur,"₹ 4,82,442",51 to 200 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.4,3.7,4.2,4.1,3.8
Travitons Technologies,Data Analyst Engineer,,Pune,"₹ 4,38,178",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
Coforge Ltd.,DATA ENGINEER,3.6,Bengaluru,"₹ 5,39,802",10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.4,3.3,3.5,3.2,3.5
Innorenovate,Senior SQL Engineer-Data Science,4,Remote,"₹ 25,00,000",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.7,3.1,4.5,3.9,4.3
Pyramid Security Services Pvt Ltd,Data Entry Operator,,Bengaluru,"₹ 18,000",,,,,,,,,,,
AutoGrid Systems,Senior Data Scientist - Forecasting (India),4.3,Remote,,51 to 200 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),4.3,4.3,4.3,4.2,4.2
Pfizer,Statistical Programming Internship,4,Chennai,,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,3.8,3.4,3.8
ICON,Data Scientist (Real-World Evidence or RWE or HEOR) - Homebased,3.8,Remote,,10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.6,3.5,3.7,3.4,3.7
Rayvat Outsourcing,AI-ML Data Analyst,2.3,Gāndhīnagar,"₹ 40,000",51 to 200 Employees,2007,Self-employed,Business Consulting,Management & Consulting,Unknown / Non-Applicable,2,1.5,1.3,2,1.8
Getinz,Data Engineer - GCV - HYD,4.5,Hyderābād,"₹ 13,50,000",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.4,4.1,4.5,4.4,4.5
HSO,HSO - GS - SQL & Data Migration,4.1,Bengaluru,"₹ 3,28,634",1001 to 5000 Employees,1987,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4,4.2,3.9,3.8,4.1
Evalueserve,Analyst-Data Engineer,3.7,Gurgaon,"₹ 7,74,665",1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.6,3.2,3.7,3.5,3.6
Sakhatech Information Systems,Data Engineer - California,4.3,Bengaluru,"₹ 5,38,615",51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.2,3.9,4.2,4.1,4.2
Tech mahindra,GCP Data Engineer,3.6,Bengaluru,"₹ 4,21,710",10000+ Employees,1986,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.5,3,3.5,3.2,3.5
TMI Group,"Data Scientist (Statistian, Bayesian modelli...",3.9,Hyderābād,"₹ 17,50,000",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,5,3,5,5,5
HQ Account LLC,Data Engineer,4.1,Cochin,"₹ 3,76,162",10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.9,4.1,3.7,3.7
BOLD LLC,Data Science Architect- I,,Noida,"₹ 4,69,574",Unknown,--,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,4,5,4,5,4
ShowTime Consulting,Data Lead,,Hyderābād,"₹ 8,15,093",,,,,,,,,,,
ANZ Banking Group,Data Engineer,4.1,Bengaluru,"₹ 7,99,375",5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable,3.8,3.7,4.1,3.6,4.1
